ADC,69,2
ADC,65,2
ADC,75,2
ADC,6D,3
ADC,7D,3
ADC,79,3
ADC,61,2
ADC,71,2
AND,29,2
AND,25,2
AND,35,2
AND,2D,3
AND,3D,3
AND,39,3
AND,21,2
AND,31,2
ASL,0A,1
ASL,06,2
ASL,16,2
ASL,0E,3
ASL,1E,3
BIT,24,2
BIT,2C,3
BPL,10,2
BMI,30,2
BVC,50,2
BVS,70,2
BCC,90,2
BCS,B0,2
BNE,D0,2
BEQ,F0,2
BRK,00,1
CMP,C9,2
CMP,C5,2
CMP,D5,2
CMP,CD,3
CMP,DD,3
CMP,D9,3
CMP,C1,2
CMP,D1,2
CPX,E0,2
CPX,E4,2
CPX,EC,3
CPY,C0,2
CPY,C4,2
CPY,CC,3
DEC,C6,2
DEC,D6,2
DEC,CE,3
DEC,DE,3
EOR,49,2
EOR,45,2
EOR,55,2
EOR,4D,3
EOR,5D,3
EOR,59,3
EOR,41,2
EOR,51,2
CLC,18,1
SEC,38,1
CLI,58,1
SEI,78,1
CLV,B8,1
CLD,D8,1
SED,F8,1
INC,E6,2
INC,F6,2
INC,EE,3
INC,FE,3
JMP,4C,3
JMP,6C,3
JSR,20,3
LDA,A9,2
LDA,A5,2
LDA,B5,2
LDA,AD,3
LDA,BD,3
LDA,B9,3
LDA,A1,2
LDA,B1,2
LDX,A2,2
LDX,A6,2
LDX,B6,2
LDX,AE,3
LDX,BE,3
LDY,A0,2
LDY,A4,2
LDY,B4,2
LDY,AC,3
LDY,BC,3
LSR,4A,1
LSR,46,2
LSR,56,2
LSR,4E,3
LSR,5E,3
NOP,EA,1
ORA,09,2
ORA,05,2
ORA,15,2
ORA,0D,3
ORA,1D,3
ORA,19,3
ORA,01,2
ORA,11,2
TAX,AA,1
TXA,8A,1
DEX,CA,1
INX,E8,1
TAY,A8,1
TYA,98,1
DEY,88,1
INY,C8,1
ROL,2A,1
ROL,26,2
ROL,36,2
ROL,2E,3
ROL,3E,3
ROR,6A,1
ROR,66,2
ROR,76,2
ROR,6E,3
ROR,7E,3
RTI,40,1
RTS,60,1
SBC,E9,2
SBC,E5,2
SBC,F5,2
SBC,ED,3
SBC,FD,3
SBC,F9,3
SBC,E1,2
SBC,F1,2
STA,85,2
STA,95,2
STA,8D,3
STA,9D,3
STA,99,3
STA,81,2
STA,91,2
TXS,9A,1
TSX,BA,1
PHA,48,1
PLA,68,1
PHP,08,1
PLP,28,1
STX,86,2
STX,96,2
STX,8E,3
STY,84,2
STY,94,2
STY,8C,3
